MW,nAT,nSK,nBT,nBO,nBM,RBF,nDB,nTB,nAB,nP,nS,nF,nCL,nX,H%,C%,N%,O%,X%,nCar
72.12,13,5,12,4,1,0.083,1,0,0,0,0,0,0,0,61.5,30.8,0,7.7,0,0
60.06,8,4,7,3,1,0.143,1,0,0,0,0,0,0,0,50,25,0,25,0,0
141.94,5,2,4,1,0,0,0,0,0,0,0,0,0,1,60,20,0,0,20,0
88.17,18,6,17,5,0,0.059,0,0,0,0,0,0,0,0,66.7,27.8,0,5.6,0,0
118.15,18,8,17,7,1,0.235,1,0,0,0,0,0,0,0,55.6,27.8,0,16.7,0,0
31.07,7,2,6,1,0,0,0,0,0,0,0,0,0,0,71.4,14.3,14.3,0,0,0
98.21,21,7,21,7,0,0,0,0,0,0,0,0,0,0,66.7,33.3,0,0,0,0
101.17,18,7,17,6,1,0.118,1,0,0,0,0,0,0,0,61.1,27.8,5.6,5.6,0,0
208.25,22,14,23,15,13,0.043,2,0,11,0,1,0,0,0,36.4,45.5,0,13.6,0,10
123.12,14,9,14,9,8,0.071,2,0,6,0,0,0,0,0,35.7,42.9,7.1,14.3,0,6
99.15,16,7,16,7,1,0,1,0,0,0,0,0,0,0,56.3,31.3,6.3,6.3,0,0
109.14,15,8,15,8,6,0,0,0,6,0,0,0,0,0,46.7,40,6.7,6.7,0,6
140.57,14,9,14,9,7,0.071,1,0,6,0,0,0,1,1,35.7,50,0,7.1,7.1,6
126.59,15,8,15,8,6,0,0,0,6,0,0,0,1,1,46.7,46.7,0,0,6.7,6
108.15,16,8,16,8,6,0,0,0,6,0,0,0,0,0,50,43.8,0,6.3,0,6
139.12,15,10,15,10,8,0.067,2,0,6,0,0,0,0,0,33.3,40,6.7,20,0,6
128.56,13,8,13,8,6,0,0,0,6,0,0,0,1,1,38.5,46.2,0,7.7,7.7,6
288.05,17,17,16,16,0,0.125,0,0,0,0,0,12,0,12,0,29.4,0,0,70.6,0
94.12,13,7,13,7,6,0,0,0,6,0,0,0,0,0,46.2,46.2,0,7.7,0,6
136.16,18,10,18,10,7,0.111,1,0,6,0,0,0,0,0,44.4,44.4,0,11.1,0,6
119.13,14,9,14,9,8,0.071,2,0,6,0,0,0,0,0,35.7,50,7.1,7.1,0,6
98.91,4,4,3,3,1,0,1,0,0,0,0,0,2,2,0,25,0,25,50,0
137.32,4,4,3,3,0,0,0,0,0,1,0,0,3,3,0,0,0,0,75,0
208.22,6,6,5,5,0,0,0,0,0,1,0,0,5,5,0,0,0,0,83.3,0
153.32,5,5,4,4,1,0,1,0,0,1,0,0,3,3,0,0,0,20,60,0
148.12,15,11,16,12,8,0,2,0,6,0,0,0,0,0,26.7,53.3,0,20,0,6
147.14,16,11,17,12,8,0,2,0,6,0,0,0,0,0,31.3,50,6.3,12.5,0,6
85.17,17,6,17,6,0,0,0,0,0,0,0,0,0,0,64.7,29.4,5.9,0,0,0
139.12,15,10,15,10,8,0.067,2,0,6,0,0,0,0,0,33.3,40,6.7,20,0,6
137.15,17,10,17,10,8,0.059,2,0,6,0,0,0,0,0,41.2,41.2,5.9,11.8,0,6
162.21,22,12,22,12,8,0.091,2,0,6,0,0,0,0,0,45.5,40.9,9.1,4.5,0,6
138.206,6,6,5,5,1,0.4,1,0,0,0,0,0,0,0,0,16.7,0,50,0,0
138.548,6,6,5,5,3,0,3,0,0,0,0,0,1,1,0,0,0,66.7,16.7,0
58.09,10,4,9,3,1,0.111,1,0,0,0,0,0,0,0,60,30,0,10,0,0
74.09,11,5,10,4,1,0.1,1,0,0,0,0,0,0,0,54.5,27.3,0,18.2,0,0
102.15,17,7,16,6,1,0.125,1,0,0,0,0,0,0,0,58.8,29.4,0,11.8,0,0
59.13,13,4,12,3,0,0.083,0,0,0,0,0,0,0,0,69.2,23.1,7.7,0,0,0
76.11,13,5,12,4,0,0.083,0,0,0,0,0,0,0,0,61.5,23.1,0,15.4,0,0
58.09,10,4,10,4,0,0,0,0,0,0,0,0,0,0,60,30,0,10,0,0
68.09,9,5,9,5,5,0,0,0,5,0,0,0,0,0,44.4,33.3,22.2,0,0,3
102.04,8,6,7,5,0,0,0,0,0,0,0,4,0,4,25,25,0,0,50,0
80.07,4,4,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,75,0,0
102.97,3,3,2,2,0,0,0,0,0,0,1,0,2,2,0,0,0,0,66.7,0
146.07,7,7,6,6,0,0,0,0,0,0,1,6,0,6,0,0,0,0,85.7,0
134.97,5,5,4,4,2,0,2,0,0,0,1,0,2,2,0,0,0,40,40,0
73.16,16,5,15,4,0,0,0,0,0,0,0,0,0,0,68.8,25,6.3,0,0,0
208.37,33,13,32,12,0,0.25,0,0,0,0,0,0,0,0,60.6,24.2,0,12.1,0,0
72.12,13,5,13,5,0,0,0,0,0,0,0,0,0,0,61.5,30.8,0,7.7,0,0
118.97,4,4,3,3,1,0,1,0,0,0,1,0,2,2,0,0,0,25,50,0
163.38,8,7,7,6,1,0,1,0,0,0,0,0,3,3,12.5,25,0,25,37.5,0
117.16,4,4,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,75,0
119.37,5,4,4,3,0,0,0,0,0,0,0,0,3,3,20,20,0,0,60,0
101.22,22,7,21,6,0,0.143,0,0,0,0,0,0,0,0,68.2,27.3,4.5,0,0,0
114.03,8,7,7,6,1,0,1,0,0,0,0,3,0,3,12.5,25,0,25,37.5,0
70.02,5,4,4,3,0,0,0,0,0,0,0,3,0,3,20,20,0,0,60,0
103.93,16,7,15,6,0,0.2,0,0,0,0,0,0,0,0,56.3,18.8,0,18.8,0,0
59.13,13,4,12,3,0,0,0,0,0,0,0,0,0,0,69.2,23.1,7.7,0,0,0
105.16,18,7,17,6,0,0.235,0,0,0,0,0,0,0,0,61.1,22.2,5.6,11.1,0,0
106.14,17,7,16,6,0,0.25,0,0,0,0,0,0,0,0,58.8,23.5,0,17.6,0,0
74.14,15,5,14,4,0,0.071,0,0,0,0,0,0,0,0,66.7,26.7,0,6.7,0,0
44.06,7,3,6,2,1,0,1,0,0,0,0,0,0,0,57.1,28.6,0,14.3,0,0
60.06,8,4,7,3,1,0,1,0,0,0,0,0,0,0,50,25,0,25,0,0
58.09,10,4,9,3,1,0,1,0,0,0,0,0,0,0,60,30,0,10,0,0
142.052,7,7,6,6,2,0.333,2,0,0,0,1,0,0,0,0,0,0,57.1,0,0
76.53,9,4,8,3,1,0,1,0,0,0,0,0,1,1,55.6,33.3,0,0,11.1,0
128.19,21,9,20,8,2,0.25,2,0,0,0,0,0,0,0,57.1,33.3,0,9.5,0,0
80.06,9,5,8,4,1,0,1,0,0,0,0,0,0,0,44.4,0,22.2,33.3,0,0
153.81,5,5,4,4,0,0,0,0,0,0,0,0,4,4,0,20,0,0,80,0
86.47,5,4,4,3,0,0,0,0,0,0,0,2,1,3,20,20,0,0,60,0
209.953,10,10,9,9,0,0.111,0,0,0,0,0,6,0,6,0,0,0,0,60,0
84.93,5,3,4,2,0,0,0,0,0,0,0,0,2,2,40,20,0,0,40,0
